Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
balance-scale,complete,1,625,16,16,cart,1,2,None,300,leviathan,1,0,500,16,16,0.006113179028,2,2,3,92.2,92,[ $a4_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,cart,1,2,None,300,leviathan,1,1,500,16,16,0.00271297479,2,2,3,92.4,91.2,[ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,cart,1,2,None,300,leviathan,1,2,500,16,16,0.002670085989,2,2,3,92,92.8,[ $a4_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,cart,1,2,None,300,leviathan,1,3,500,16,16,0.002758034971,2,2,3,92.2,92,[ $a3_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,cart,1,2,None,300,leviathan,1,4,500,16,16,0.002845533658,2,2,3,92,92.8,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,cart,2,4,None,300,leviathan,1,0,500,16,16,0.002875305712,3,4,7,92.2,92,[ $a4_1 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,cart,2,4,None,300,leviathan,1,1,500,16,16,0.002933977172,3,4,7,92.4,91.2,[ $a4_2 \eq 0$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,cart,2,4,None,300,leviathan,1,2,500,16,16,0.002839241643,3,4,7,92,92.8,[ $a3_3 \eq 0$ [ $a2_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,cart,2,4,None,300,leviathan,1,3,500,16,16,0.002777824178,3,4,7,92.2,92,[ $a4_4 \eq 0$ [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,cart,2,4,None,300,leviathan,1,4,500,16,16,0.002872685902,3,4,7,92,92.8,[ $a4_2 \eq 0$ [ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a4_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,cart,3,8,None,300,leviathan,1,0,500,16,16,0.00307840202,4,8,15,92.2,92,[ $a4_1 \eq 1$ [ $a3_1 \eq 0$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_1 \eq 1$ [ $a3_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ],
balance-scale,complete,1,625,16,16,cart,3,8,None,300,leviathan,1,1,500,16,16,0.002898730803,4,8,15,92.4,91.2,[ $a4_2 \eq 1$ [ $a2_2 \eq 0$ [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_2 \eq 1$ [ $a3_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ],
