Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,0,99,11,22,0.002369676251,2,2,3,74.74747475,68,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,1,99,11,22,0.002069773152,2,2,3,66.66666667,100,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,2,99,11,22,0.002231301274,2,2,3,77.77777778,56,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,3,99,11,22,0.002376287244,2,2,3,67.67676768,96,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,4,100,11,22,0.002224475145,2,2,3,80,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,0,99,11,22,0.002280721907,3,3,5,74.74747475,68,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,1,99,11,22,0.0021367562,3,3,5,68.68686869,48,[ $a5_1 \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,2,99,11,22,0.002142046113,3,3,5,77.77777778,56,[ $a5_1 \eq 1$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,3,99,11,22,0.002108985092,3,3,5,73.73737374,48,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,4,100,11,22,0.002213354222,3,3,5,80,45.83333333,[ $a5_1 \eq 1$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,3,8,None,300,leviathan,1,0,99,11,22,0.002224098891,4,4,7,88.88888889,68,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
monk-1,complete,1,124,11,11,cart,3,8,None,300,leviathan,1,1,99,11,22,0.002192595042,4,5,9,71.71717172,68,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a4_2 \eq 0$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
monk-1,complete,1,124,11,11,cart,3,8,None,300,leviathan,1,2,99,11,22,0.002562412992,4,5,9,78.78787879,100,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 1$ [ $a1_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
monk-1,complete,1,124,11,11,cart,3,8,None,300,leviathan,1,3,99,11,22,0.002190238796,4,5,9,95.95959596,72,[ $a5_1 \eq 1$ [ $a1_1 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,3,8,None,300,leviathan,1,4,100,11,22,0.002128188964,4,5,9,92,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 0$ [ $a1_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ],
monk-1,complete,1,124,11,11,cart,4,16,None,300,leviathan,1,0,99,11,22,0.002304798923,5,5,9,88.88888889,68,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a5_3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ],
monk-1,complete,1,124,11,11,cart,4,16,None,300,leviathan,1,1,99,11,22,0.00229530409,5,9,17,77.77777778,72,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a4_2 \eq 0$ [ $a2_1 \eq 0$ [ $a1_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a1_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a3_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ],
